"Recommended for You","Fuer Sie empfohlen"
"Frequently Bought Together","Haeufig zusammen gekauft"
"You May Also Like","Das koennte Ihnen auch gefallen"
"Customers Also Bought","Kunden kauften auch"
"Enable AI Recommendations","KI-Empfehlungen aktivieren"
"Recommendation Algorithm","Empfehlungsalgorithmus"
"Collaborative Filtering","Kollaboratives Filtern"
"Product Similarity","Produktaehnlichkeit"
"Hybrid (All Combined)","Hybrid (Alle kombiniert)"
"Max Products to Show","Max. angezeigte Produkte"
"Track Product Views","Produktansichten verfolgen"
"Track Add to Cart","In den Warenkorb verfolgen"
"Track Purchases","Kaeufe verfolgen"
"Press to skip carousel","Druecken Sie um das Karussell zu ueberspringen"
