"Recommended for You","Recommended for You"
"Frequently Bought Together","Frequently Bought Together"
"You May Also Like","You May Also Like"
"Customers Also Bought","Customers Also Bought"
"Enable AI Recommendations","Enable AI Recommendations"
"Recommendation Algorithm","Recommendation Algorithm"
"Collaborative Filtering","Collaborative Filtering"
"Product Similarity","Product Similarity"
"Hybrid (All Combined)","Hybrid (All Combined)"
"Max Products to Show","Max Products to Show"
"Track Product Views","Track Product Views"
"Track Add to Cart","Track Add to Cart"
"Track Purchases","Track Purchases"
"Press to skip carousel","Press to skip carousel"
