"Recommended for You","Recomendado para Ti"
"Frequently Bought Together","Comprados Frecuentemente Juntos"
"You May Also Like","Tambien te puede gustar"
"Customers Also Bought","Los clientes tambien compraron"
"Enable AI Recommendations","Activar Recomendaciones IA"
"Recommendation Algorithm","Algoritmo de Recomendacion"
"Collaborative Filtering","Filtrado Colaborativo"
"Product Similarity","Similitud de Productos"
"Hybrid (All Combined)","Hibrido (Todos Combinados)"
"Max Products to Show","Maximo de Productos a Mostrar"
"Track Product Views","Rastrear Vistas de Productos"
"Track Add to Cart","Rastrear Agregar al Carrito"
"Track Purchases","Rastrear Compras"
"Press to skip carousel","Presiona para saltar el carrusel"
