"Recommended for You","Recomandat pentru Tine"
"Frequently Bought Together","Cumparate Frecvent Impreuna"
"You May Also Like","S-ar putea sa-ti placa si"
"Customers Also Bought","Clientii au Cumparat si"
"Enable AI Recommendations","Activeaza Recomandari AI"
"Recommendation Algorithm","Algoritm de Recomandare"
"Collaborative Filtering","Filtrare Colaborativa"
"Product Similarity","Similaritate Produse"
"Hybrid (All Combined)","Hibrid (Toate Combinate)"
"Max Products to Show","Numar Maxim de Produse"
"Track Product Views","Urmareste Vizualizari Produse"
"Track Add to Cart","Urmareste Adaugare in Cos"
"Track Purchases","Urmareste Achizitii"
"Press to skip carousel","Apasa pentru a sari peste carusel"
